Identifier	Synonym
Cre08.g368026	
Cre08.g373351	
Cre08.g363250	
Cre08.g380300	MSRA3
Cre08.g362019	FAP408
Cre08.g375400	GSM1
Cre08.g383050	
Cre08.g364989	
Cre08.g364600	
Cre08.g386100	CYP744A5P
Cre08.g364931	FAP316
Cre08.g358100	
Cre08.g380600	
Cre08.g384250	
Cre08.g363400	
Cre08.g382300	CCB4
Cre08.g372950	IDS1
Cre08.g369720	
Cre08.g375050	FAP86
Cre08.g378800	
Cre08.g365950	
Cre08.g366200	
Cre08.g367300	
Cre08.g384320	
Cre08.g370000	
Cre08.g373200	
Cre08.g365400	PRPL31
Cre08.g364200	
Cre08.g374950	
Cre08.g358562	CPN20
Cre08.g364050	
Cre08.g377450	
Cre08.g371052	IRE1:5frag
Cre08.g373360	
Cre08.g385951	
Cre08.g369350	
Cre08.g360450	
Cre08.g364862	
Cre08.g367600	OASTL1
Cre08.g365204	CSE9
Cre08.g365600	
Cre08.g364726	
Cre08.g379163	
Cre08.g372750	
Cre08.g373372	
Cre08.g378417	
Cre08.g383150	NAT5
Cre08.g375301	
Cre08.g381800	
Cre08.g371879	
Cre08.g372100	HSP70A
Cre08.g375700	smm31
Cre08.g376950	MMP14
Cre08.g382620	
Cre08.g380550	
Cre08.g358539	
Cre08.g370050	
Cre08.g382100	
Cre08.g376500	
Cre08.g368200	
Cre08.g373355	
Cre08.g369683	
Cre08.g369740	MRP6
Cre08.g370650	PGL2
Cre08.g384050	
Cre08.g358526	AAA1
Cre08.g361850	
Cre08.g361450	
Cre08.g373364	
Cre08.g379150	
Cre08.g366850	
Cre08.g358150	
Cre08.g378900	NUO3
Cre08.g385400	
Cre08.g363200	
Cre08.g380151	
Cre08.g363050	
Cre08.g376450	CPLD36
Cre08.g371800	
Cre08.g377050	
Cre08.g358581	
Cre08.g382450	
Cre08.g376100	
Cre08.g370150	
Cre08.g372550	CDKB1
Cre08.g359250	
Cre08.g366900	
Cre08.g375950	EXR1
Cre08.g368000	
Cre08.g377900	
Cre08.g384550	
Cre08.g373150	
Cre08.g370700	
Cre08.g366700	
Cre08.g367100	
Cre08.g358564	FAP344
Cre08.g358950	
Cre08.g379500	
Cre08.g365800	
Cre08.g375000	
Cre08.g366000	
